"x" "y"
"1" 0 57.3594686286771
"2" 0.344827586206897 41.5376952937188
"3" 0.689655172413793 55.4522214950805
"4" 1.03448275862069 40.150975080211
"5" 1.37931034482759 26.8750277883631
"6" 1.72413793103448 32.2257171862082
"7" 2.06896551724138 20.4799015635152
"8" 2.41379310344828 4.82265209045963
"9" 2.75862068965517 -4.74358161601586
"10" 3.10344827586207 -15.0673344490061
"11" 3.44827586206897 -19.3720412286948
"12" 3.79310344827586 -32.7894083201068
"13" 4.13793103448276 -42.0558761824441
"14" 4.48275862068966 -52.2808435044478
"15" 4.82758620689655 -52.8860872959763
"16" 5.17241379310345 -71.5967025093106
"17" 5.51724137931035 -68.5639711993612
"18" 5.86206896551724 -74.7950844534684
"19" 6.20689655172414 -74.18857696808
"20" 6.55172413793103 -76.2312054630131
"21" 6.89655172413793 -71.0647405301897
"22" 7.24137931034483 -60.7428784610182
"23" 7.58620689655172 -49.9120722099498
"24" 7.93103448275862 -14.531590028385
"25" 8.27586206896552 -21.5755230263886
"26" 8.62068965517241 -0.0221904405757876
"27" 8.96551724137931 37.1256724194572
"28" 9.31034482758621 54.1394846179618
"29" 9.6551724137931 89.7927023385743
"30" 10 139.837858259042
